y,m,d,T(ºC),P(mm/d),PET(mm/d),qout(mm/d)
2001,5,30,3.46,0,0.47,0.07
2001,5,31,-0.13,0,0.42,0.06
2001,6,1,-2.65,0,0.37,0.06
2001,6,2,0.78,2,0.33,0.05
2001,6,3,1.83,0,0.29,0.04
2001,6,4,2.36,2,0.25,0.05
2001,6,5,0.2,0,0.21,0.07
2001,6,6,-1.07,6,0.18,0.06
2001,6,7,1.94,0,0.15,0.05
2001,6,8,2.17,0,0.12,0.13
2001,6,9,1.14,5,0.09,0.12
2001,6,10,1.91,3,0.07,0.21
2001,6,11,7.26,2,0.05,0.19
2001,6,12,6.81,0,0.04,0.18
2001,6,13,3.13,1,0.02,0.17
2001,6,14,0.22,5,0.01,0.17
2001,6,15,-4.46,0,0.01,0.16
2001,6,16,-6.92,0,0,0.15
2001,6,17,-9.23,0,0,0.14
2001,6,18,-11.08,1,0,0.13
2001,6,19,-8.4,0,0.01,0.12
2001,6,20,-3.23,1,0.01,0.11
2001,6,21,-2.49,0,0.02,0.1
2001,6,22,-0.75,0,0.04,0.09
2001,6,23,-1.67,3,0.05,0.08
2001,6,24,-6.78,0,0.07,0.07
2001,6,25,-3.19,1,0.09,0.06
2001,6,26,-0.8,1,0.12,0.06
2001,6,27,0.49,0,0.15,0.05
2001,6,28,2.75,2,0.18,0.05
2001,6,29,1.66,0,0.21,0.3
2001,6,30,1.17,1,0.25,0.38
2001,7,1,0.81,5,0.29,0.32
2001,7,2,-2.62,21,0.33,0.24
2001,7,3,3.1,0,0.37,0.2
2001,7,4,4.48,0,0.42,0.64
2001,7,5,-0.61,0,0.47,0.68
2001,7,6,0.45,0,0.53,0.61
2001,7,7,3.67,0,0.58,0.8
2001,7,8,-0.5,9,0.64,0.76
2001,7,9,-3.16,17,0.7,0.65
2001,7,10,-3.45,0,0.77,0.56
2001,7,11,-5.91,0,0.84,0.47
2001,7,12,-2.61,6,0.91,0.41
2001,7,13,-2.23,21,0.98,0.38
2001,7,14,-1.27,17,1.06,0.36
2001,7,15,2.84,0,1.13,0.34
2001,7,16,3.29,0,1.21,0.76
2001,7,17,-2.61,3,1.3,0.79
2001,7,18,-3.25,71,1.38,0.68
2001,7,19,-6.08,68,1.47,0.58
2001,7,20,-3.52,1,1.56,0.5
2001,7,21,-6.14,0,1.66,0.44
2001,7,22,-3.33,1,1.75,0.41
2001,7,23,-9.02,0,1.85,0.39
2001,7,24,-5.08,0,1.95,0.37
2001,7,25,-10.06,0,2.05,0.34
2001,7,26,-13.21,1,2.16,0.32
2001,7,27,-9.79,1,2.27,0.3
2001,7,28,-4.34,1,2.38,0.28
2001,7,29,-3.49,5,2.49,0.27
2001,7,30,-3.13,36,2.6,0.25
2001,7,31,-0.46,43,2.72,0.23
2001,8,1,7.16,3,2.84,0.22
2001,8,2,5.81,1,2.96,1.23
2001,8,3,2.54,0,3.08,1.59
2001,8,4,0.82,0,3.21,1.54
2001,8,5,-3.19,0,3.33,1.37
2001,8,6,-8.8,0,3.46,1.2
2001,8,7,-5.07,0,3.59,1.05
2001,8,8,0.92,0,3.73,0.99
2001,8,9,-4.26,2,3.86,0.88
2001,8,10,-2.75,2,4,0.76
2001,8,11,0.72,6,4.14,0.72
2001,8,12,-1.51,0,4.28,0.63
2001,8,13,-3.01,0,4.42,0.55
2001,8,14,-1.03,0,4.56,0.49
2001,8,15,-1.77,7,4.71,0.46
2001,8,16,-2.81,22,4.85,0.43
2001,8,17,-5.65,10,5,0.41
2001,8,18,-6.61,1,5.15,0.38
2001,8,19,-7.36,4,5.3,0.36
2001,8,20,-3.09,6,5.45,0.34
2001,8,21,0.34,4,5.61,0.32
2001,8,22,0.62,6,5.76,0.31
2001,8,23,1.02,3,5.92,0.31
2001,8,24,2.51,0,6.07,0.51
2001,8,25,-2.72,2,6.23,0.49
2001,8,26,-4.68,22,6.39,0.41
2001,8,27,-7.73,14,6.55,0.37
2001,8,28,-2.74,14,6.71,0.35
2001,8,29,0.04,43,6.88,0.33
2001,8,30,-0.72,20,7.04,0.31
2001,8,31,-0.13,5,7.21,0.29
2001,9,1,-2.68,0,7.37,0.27
2001,9,2,-3.07,0,7.54,0.25
2001,9,3,-6.96,0,7.7,0.24
2001,9,4,-3.86,0,7.87,0.22
2001,9,5,0,0,8.04,0.21
2001,9,6,0.71,0,8.21,0.19
2001,9,7,0.49,0,8.38,0.19
2001,9,8,3.32,0,8.55,0.19
2001,9,9,0.49,1,8.72,0.25
2001,9,10,-2.08,1,8.89,0.24
2001,9,11,-0.06,6,9.06,0.22
2001,9,12,0.66,10,9.23,0.2
2001,9,13,-2.8,0,9.4,0.2
2001,9,14,-1.91,1,9.57,0.19
2001,9,15,-1.51,2,9.74,0.17
2001,9,16,-1.86,2,9.91,0.16
2001,9,17,-0.35,0,10.09,0.15
2001,9,18,-0.21,0,10.26,0.14
2001,9,19,-0.28,0,10.43,0.13
2001,9,20,1.61,0,10.6,0.12
2001,9,21,3.12,0,10.77,0.12
2001,9,22,5.24,0,10.94,0.14
2001,9,23,2.42,0,11.11,0.3
2001,9,24,3.39,0,11.28,0.39
2001,9,25,0.78,0,11.45,0.38
2001,9,26,-1.49,0,11.62,0.31
2001,9,27,-3.24,0,11.79,0.27
2001,9,28,-3.43,17,11.96,0.25
2001,9,29,-0.44,0,12.13,0.24
2001,9,30,-0.04,12,12.3,0.22
2001,10,1,0.57,0,12.46,0.21
2001,10,2,2.49,0,12.63,0.2
2001,10,3,2.25,0,12.79,0.22
2001,10,4,2.78,0,12.96,0.24
2001,10,5,4.3,0,13.12,0.39
2001,10,6,3.9,0,13.29,0.5
2001,10,7,4.2,0,13.45,0.62
2001,10,8,4.2,0,13.61,0.75
2001,10,9,5.23,0,13.77,0.93
2001,10,10,6.05,0,13.93,1.18
2001,10,11,6.26,0,14.08,1.47
2001,10,12,8.18,0,14.24,1.89
2001,10,13,7.79,0,14.39,2.35
2001,10,14,8.36,0,14.55,2.85
2001,10,15,7.82,0,14.7,3.33
2001,10,16,7.58,0,14.85,3.77
2001,10,17,8.03,0,15,4.22
2001,10,18,7.84,0,15.15,4.65
2001,10,19,5.53,0,15.29,4.84
2001,10,20,2.22,0,15.44,4.67
2001,10,21,4.92,0,15.58,4.63
2001,10,22,7.39,0,15.72,4.83
2001,10,23,3.38,0,15.86,4.77
2001,10,24,8.19,0,16,4.97
2001,10,25,11.51,0,16.14,5.55
2001,10,26,10.41,0,16.27,6.15
2001,10,27,4.71,0,16.41,6.21
2001,10,28,1.82,0,16.54,5.85
2001,10,29,3.99,0,16.67,5.61
2001,10,30,7.55,0,16.79,5.7
2001,10,31,9.08,0,16.92,5.99
2001,11,1,8.7,0,17.04,6.29
2001,11,2,8.53,0,17.16,6.57
2001,11,3,7.95,0,17.28,6.79
2001,11,4,7.72,0,17.4,6.89
2001,11,5,5.89,0,17.51,6.36
2001,11,6,4.74,0,17.62,5.71
2001,11,7,5.06,0,17.73,5.13
2001,11,8,0.48,0,17.84,4.6
2001,11,9,3.6,0,17.95,4.13
2001,11,10,4.82,0,18.05,3.71
2001,11,11,9.27,0,18.15,3.32
2001,11,12,6.12,0,18.25,2.98
2001,11,13,7.31,0,18.34,2.67
2001,11,14,3.18,0,18.44,2.4
2001,11,15,3.9,0,18.53,2.15
2001,11,16,5.5,0,18.62,1.92
2001,11,17,11.17,0,18.7,1.72
2001,11,18,11.39,0,18.79,1.54
2001,11,19,9.75,0,18.87,1.38
2001,11,20,10.69,0,18.94,1.23
2001,11,21,12.98,0,19.02,1.1
2001,11,22,11.36,0,19.09,0.98
2001,11,23,7.55,0,19.16,0.87
2001,11,24,6.22,0,19.23,0.79
2001,11,25,6.08,0,19.3,0.74
2001,11,26,8.65,0,19.36,0.7
2001,11,27,8.23,0,19.42,0.66
2001,11,28,8.23,0,19.47,0.63
2001,11,29,7.57,0,19.53,0.59
2001,11,30,9.16,0,19.58,0.56
2001,12,1,7.58,0,19.63,0.53
2001,12,2,0.64,0,19.67,0.5
2001,12,3,4.02,0,19.71,0.47
2001,12,4,8.48,0,19.75,0.45
2001,12,5,10.19,0,19.79,0.42
2001,12,6,10.61,0,19.82,0.4
2001,12,7,10.19,0,19.85,0.37
2001,12,8,10.49,0,19.88,0.35
2001,12,9,12.91,0,19.91,0.33
2001,12,10,12.32,0,19.93,0.31
2001,12,11,11.96,0,19.95,0.29
2001,12,12,12.03,0,19.96,0.28
2001,12,13,9.47,0,19.98,0.26
2001,12,14,12.43,0,19.99,0.24
2001,12,15,14.58,0,19.99,0.23
2001,12,16,16.5,0,20,0.21
2001,12,17,16.92,0,20,0.2
2001,12,18,15.98,0,20,0.19
2001,12,19,13.15,0,19.99,0.17
2001,12,20,11.07,0,19.99,0.16
2001,12,21,9.12,0,19.98,0.15
2001,12,22,10.43,0,19.96,0.14
2001,12,23,11.98,0,19.95,0.13
2001,12,24,13.57,0,19.93,0.12
2001,12,25,13.09,0,19.91,0.11
2001,12,26,13.39,0,19.88,0.1
2001,12,27,13.51,0,19.85,0.1
2001,12,28,14.11,0,19.82,0.09
2001,12,29,13.64,0,19.79,0.08
2001,12,30,11.63,0,19.75,0.07
2001,12,31,11,0,19.71,0.07
2002,1,1,10.79,0,19.67,0.06
2002,1,2,11.37,0,19.63,0.06
2002,1,3,10.41,0,19.58,0.05
2002,1,4,5.74,0,19.53,0.04
2002,1,5,8.83,0,19.47,0.04
2002,1,6,11.85,0,19.42,0.04
2002,1,7,11.6,0,19.36,0.04
2002,1,8,11.61,0,19.3,0.04
2002,1,9,13.26,0,19.23,0.04
2002,1,10,15.64,0,19.16,0.04
2002,1,11,14.96,0,19.09,0.04
2002,1,12,14.42,0,19.02,0.04
2002,1,13,12.34,0,18.94,0.04
2002,1,14,8.14,0,18.87,0.04
2002,1,15,7.62,0,18.79,0.04
2002,1,16,7.92,0,18.7,0.04
2002,1,17,8.16,0,18.62,0.04
2002,1,18,7.5,0,18.53,0.04
2002,1,19,8.03,0,18.44,0.04
2002,1,20,6.67,0,18.34,0.04
2002,1,21,8.42,0,18.25,0.04
2002,1,22,10.71,0,18.15,0.04
2002,1,23,11.71,0,18.05,0.04
2002,1,24,11.42,0,17.95,0.04
2002,1,25,9.69,0,17.84,0.04
2002,1,26,9.63,0,17.73,0.04
2002,1,27,11.72,0,17.62,0.04
2002,1,28,11.36,0,17.51,0.04
2002,1,29,12.05,0,17.4,0.04
2002,1,30,10.91,0,17.28,0.04
2002,1,31,14.55,0,17.16,0.04
2002,2,1,14.55,0,17.04,0.04
2002,2,2,14.87,0,16.92,0.04
2002,2,3,15.64,0,16.79,0.04
2002,2,4,12.68,0,16.67,0.04
2002,2,5,9.56,0,16.54,0.04
2002,2,6,9.1,0,16.41,0.04
2002,2,7,7.69,0,16.27,0.04
2002,2,8,7.03,0,16.14,0.04
2002,2,9,8.04,0,16,0.04
2002,2,10,9.07,0,15.86,0.04
2002,2,11,9.6,0,15.72,0.04
2002,2,12,11.76,0,15.58,0.04
2002,2,13,11.86,0,15.44,0.04
2002,2,14,11.6,0,15.29,0.04
2002,2,15,11.58,0,15.15,0.04
2002,2,16,12.81,0,15,0.04
2002,2,17,12.97,0,14.85,0.04
2002,2,18,11.08,0,14.7,0.04
2002,2,19,7.53,0,14.55,0.04
2002,2,20,8.37,0,14.39,0.04
2002,2,21,8.97,0,14.24,0.04
2002,2,22,12.83,0,14.08,0.04
2002,2,23,12.38,0,13.93,0.04
2002,2,24,12.36,0,13.77,0.04
2002,2,25,12.56,0,13.61,0.04
2002,2,26,12.52,0,13.45,0.04
2002,2,27,13.02,0,13.29,0.04
2002,2,28,10.84,0,13.12,0.04
2002,3,1,12.13,0,12.96,0.04
2002,3,2,14.42,0,12.79,0.04
2002,3,3,15.17,0,12.63,0.04
2002,3,4,14.05,0,12.46,0.04
2002,3,5,13.53,0,12.3,0.04
2002,3,6,13.71,0,12.13,0.04
2002,3,7,12.71,0,11.96,0.04
2002,3,8,12.12,0,11.79,0.04
2002,3,9,12.41,0,11.62,0.04
2002,3,10,12.14,0,11.45,0.04
2002,3,11,11.29,0,11.28,0.04
2002,3,12,10.99,0,11.11,0.04
2002,3,13,13.93,0,10.94,0.04
2002,3,14,12.95,0,10.77,0.04
2002,3,15,14.27,0,10.6,0.04
2002,3,16,12.78,0,10.43,0.04
2002,3,17,14.32,0,10.26,0.04
2002,3,18,12.37,0,10.09,0.04
2002,3,19,10.98,0,9.91,0.04
2002,3,20,12.84,0,9.74,0.04
2002,3,21,15.12,0,9.57,0.04
2002,3,22,14.23,0,9.4,0.04
2002,3,23,14.26,0,9.23,0.04
2002,3,24,9.97,0,9.06,0.04
2002,3,25,13.16,0,8.89,0.04
2002,3,26,10.93,0,8.72,0.04
2002,3,27,8.98,0,8.55,0.04
2002,3,28,8.92,0,8.38,0.04
2002,3,29,3.56,0,8.21,0.04
2002,3,30,2.26,0,8.04,0.04
2002,3,31,5.95,0,7.87,0.03
2002,4,1,8.21,0,7.7,0.03
2002,4,2,8.38,0,7.54,0.03
2002,4,3,9.12,0,7.37,0.03
2002,4,4,9.44,0,7.21,0.03
2002,4,5,9.39,0,7.04,0.03
2002,4,6,8.6,0,6.88,0.03
2002,4,7,10.83,0,6.71,0.03
2002,4,8,9.92,0,6.55,0.03
2002,4,9,9.77,0,6.39,0.03
2002,4,10,3.88,0,6.23,0.03
2002,4,11,3.21,0,6.07,0.03
2002,4,12,2.54,0,5.92,0.03
2002,4,13,2.15,0,5.76,0.03
2002,4,14,4.72,0,5.61,0.03
2002,4,15,3.08,0,5.45,0.03
2002,4,16,4,0,5.3,0.03
2002,4,17,5.21,0,5.15,0.03
2002,4,18,6.42,0,5,0.03
2002,4,19,4.97,0,4.85,0.03
2002,4,20,5.53,0,4.71,0.03
2002,4,21,7.79,0,4.56,0.03
2002,4,22,6.73,0,4.42,0.03
2002,4,23,4.59,0,4.28,0.03
2002,4,24,2.52,0,4.14,0.03
2002,4,25,2.23,0,4,0.03
2002,4,26,1.37,0,3.86,0.03
2002,4,27,5.37,0,3.73,0.03
2002,4,28,5.72,0,3.59,0.03
2002,4,29,4.26,0,3.46,0.03
2002,4,30,2.76,2,3.33,0.03
2002,5,1,2.51,0,3.21,0.03
2002,5,2,3.2,1,3.08,0.03
2002,5,3,3.54,0,2.96,0.03
2002,5,4,4.73,0,2.84,0.03
2002,5,5,3.29,0,2.72,0.03
2002,5,6,4.33,0,2.6,0.03
2002,5,7,4.96,0,2.49,0.03
2002,5,8,3.92,0,2.38,0.03
2002,5,9,5.24,1,2.27,0.03
2002,5,10,5.83,0,2.16,0.03
2002,5,11,8.29,0,2.05,0.03
2002,5,12,12.12,0,1.95,0.03
2002,5,13,6.6,0,1.85,0.03
2002,5,14,0.15,5,1.75,0.03
2002,5,15,1.35,0,1.66,0.03
2002,5,16,4.1,0,1.56,0.03
2002,5,17,0.48,0,1.47,0.03
2002,5,18,-0.47,1,1.38,0.03
2002,5,19,-3.41,1,1.3,0.03
2002,5,20,-8.28,4,1.21,0.03
2002,5,21,-1.5,0,1.13,0.03
2002,5,22,4.55,2,1.06,0.03
2002,5,23,7.82,0,0.98,0.03
2002,5,24,7.91,0,0.91,0.04
2002,5,25,1.23,4,0.84,0.04
2002,5,26,-1.84,45,0.77,0.03
2002,5,27,-3.72,10,0.7,0.04
2002,5,28,-5.46,14,0.64,0.04
2002,5,29,-5.82,5,0.58,0.03
2002,5,30,-7.9,2,0.53,0.03
2002,5,31,-6.83,2,0.47,0.03
2002,6,1,-3.08,41,0.42,0.03
2002,6,2,-2.96,34,0.37,0.03
2002,6,3,-2.64,54,0.33,0.03
2002,6,4,-3.89,52,0.29,0.03
2002,6,5,-8.68,23,0.25,0.03
2002,6,6,-9.95,0,0.21,0.03
2002,6,7,-11.05,2,0.18,0.03
2002,6,8,-7.65,0,0.15,0.03
2002,6,9,1.15,0,0.12,0.03
2002,6,10,-2.7,0,0.09,0.03
2002,6,11,-0.19,0,0.07,0.04
2002,6,12,-5.98,0,0.05,0.03
2002,6,13,-9.46,0,0.04,0.03
2002,6,14,-11.56,0,0.02,0.03
2002,6,15,-8.44,0,0.01,0.03
2002,6,16,-3.48,0,0.01,0.03
2002,6,17,-7.89,0,0,0.03
2002,6,18,-6.88,0,0,0.03
2002,6,19,-4.97,0,0,0.03
2002,6,20,-3.84,0,0.01,0.03
2002,6,21,-3.18,0,0.01,0.03
2002,6,22,-3.73,0,0.02,0.03
2002,6,23,-3.73,0,0.04,0.03
2002,6,24,-2.6,0,0.05,0.03
2002,6,25,2.87,0,0.07,0.03
2002,6,26,3.85,2,0.09,0.03
2002,6,27,-2.58,6,0.12,0.12
2002,6,28,-3.27,0,0.15,0.12
2002,6,29,-4.88,0,0.18,0.1
2002,6,30,-6.98,0,0.21,0.09
2002,7,1,-4.77,0,0.25,0.09
2002,7,2,-3.82,3,0.29,0.08
2002,7,3,-9.33,7,0.33,0.07
2002,7,4,-9.52,0,0.37,0.06
2002,7,5,-5.95,0,0.42,0.06
2002,7,6,-5.38,0,0.47,0.05
2002,7,7,-2.55,6,0.53,0.05
2002,7,8,-3.37,4,0.58,0.04
2002,7,9,-2.96,0,0.64,0.04
2002,7,10,-4.49,3,0.7,0.03
2002,7,11,-0.97,0,0.77,0.03
2002,7,12,-2.83,0,0.84,0.03
2002,7,13,-3.64,0,0.91,0.03
2002,7,14,-2.85,2,0.98,0.03
2002,7,15,-1.32,2,1.06,0.03
2002,7,16,-2.2,2,1.13,0.03
2002,7,17,0.68,0,1.21,0.03
2002,7,18,-1.26,0,1.3,0.03
2002,7,19,-0.26,0,1.38,0.04
2002,7,20,-1.95,13,1.47,0.04
2002,7,21,-5.49,20,1.56,0.03
2002,7,22,-5.94,0,1.66,0.03
2002,7,23,-5.02,42,1.75,0.03
2002,7,24,-13.33,6,1.85,0.03
2002,7,25,-14.09,0,1.95,0.03
2002,7,26,-5.72,0,2.05,0.03
2002,7,27,-6.03,0,2.16,0.03
2002,7,28,-3,0,2.27,0.03
2002,7,29,1.21,3,2.38,0.03
2002,7,30,-5.24,4,2.49,0.03
2002,7,31,-10.39,0,2.6,0.06
2002,8,1,-11.4,0,2.72,0.06
2002,8,2,-6.86,0,2.84,0.05
2002,8,3,-1.05,2,2.96,0.05
2002,8,4,-7.06,2,3.08,0.04
2002,8,5,-4.13,17,3.21,0.04
2002,8,6,-0.48,84,3.33,0.03
2002,8,7,-0.54,0,3.46,0.03
2002,8,8,-4.67,10,3.59,0.03
2002,8,9,-2.82,2,3.73,0.03
2002,8,10,1.94,0,3.86,0.03
2002,8,11,0.38,0,4,0.03
2002,8,12,0.82,0,4.14,0.06
2002,8,13,-0.63,0,4.28,0.07
2002,8,14,-1.39,0,4.42,0.06
2002,8,15,-0.61,0,4.56,0.06
2002,8,16,3.76,0,4.71,0.05
2002,8,17,5.86,0,4.85,0.28
2002,8,18,-2.14,0,5,0.29
2002,8,19,-7.16,1,5.15,0.22
2002,8,20,-10.37,2,5.3,0.18
2002,8,21,-4.39,0,5.45,0.16
2002,8,22,-0.16,0,5.61,0.15
2002,8,23,-0.9,11,5.76,0.14
2002,8,24,-0.05,61,5.92,0.13
2002,8,25,2.83,56,6.07,0.12
2002,8,26,5.28,6,6.23,1.46
2002,8,27,2.52,0,6.39,1.88
2002,8,28,-3.24,0,6.55,1.72
2002,8,29,-6.34,0,6.71,1.51
2002,8,30,-3.78,0,6.88,1.32
2002,8,31,-3.02,4,7.04,1.16
2002,9,1,-3.05,0,7.21,1.01
2002,9,2,0.86,0,7.37,0.93
2002,9,3,0.81,12,7.54,0.88
2002,9,4,2,3,7.7,0.98
2002,9,5,-3.95,26,7.87,0.91
2002,9,6,-9.35,0,8.04,0.79
2002,9,7,-4.16,4,8.21,0.69
2002,9,8,-2.11,24,8.38,0.59
2002,9,9,0.75,15,8.55,0.51
2002,9,10,0.2,1,8.72,0.49
2002,9,11,0.63,0,8.89,0.48
2002,9,12,-1.42,0,9.06,0.47
2002,9,13,1.23,0,9.23,0.44
2002,9,14,-1.23,0,9.4,0.44
2002,9,15,-4.67,0,9.57,0.43
2002,9,16,-3.2,1,9.74,0.4
2002,9,17,-0.82,3,9.91,0.38
2002,9,18,0.12,2,10.09,0.36
2002,9,19,-2.65,0,10.26,0.34
2002,9,20,0.79,0,10.43,0.32
2002,9,21,2.03,0,10.6,0.31
2002,9,22,0.35,0,10.77,0.32
2002,9,23,-1.45,0,10.94,0.31
2002,9,24,1.91,6,11.11,0.3
2002,9,25,3.19,0,11.28,0.45
2002,9,26,3.62,0,11.45,0.55
2002,9,27,2.86,0,11.62,0.61
2002,9,28,3.3,0,11.79,0.68
2002,9,29,0.19,0,11.96,0.63
2002,9,30,0.34,0,12.13,0.56
2002,10,1,3.15,0,12.3,0.59
2002,10,2,4.62,0,12.46,0.72
2002,10,3,2.23,0,12.63,0.77
2002,10,4,3.56,0,12.79,0.86
2002,10,5,6.62,0,12.96,1.1
